"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-2.1-qwen2-72b",1.73695773898176,38,17,67,19,15
"calme-2.2-rys-78b",1.97446031832227,33,17,66,17,13
"MG-FinalMix-72B",2.26113084577944,30,15,56,17,9
"EVA-Qwen2.5-72B-v0.2",2.90557940658972,18,7,42,9,4
"Qwen2-72B-Orpo-v0.1",2.19092658710619,31,17,57,17,11
"RYS-XLarge-base",2.39522567539332,28,13,60,15,7
"calme-2.2-qwen2-72b",-0.583003367608219,59,48,100,49,31
"Arcee-Nova",0.929292772722778,46,32,77,33,17
"L3.3-MS-Nevoria-70b",3.73762563431495,12,1,33,2,1
"Set-70b",3.42979010398233,16,2,38,4,1
"QwentileSwap",1.01741861817276,43,29,85,31,17
"li-14b-v0.4",-1.58611751778781,68,53,100,53,31
"tempmotacilla-cinerea-030",-2.24825665778508,76,59,100,60,25
"L3.3-Nevoria-R1-70b",4.23561174531592,5,1,22,1,1
"Qwen2-72B-Instruct",-0.25997408454616,57,43,100,44,29
"Galactic-Qwen-14B-Exp2",3.6266673987663,14,2,32,3,1
"BigQwen2.5-52B-Instruct",-16.5263594741116,100,100,100,100,1
"Llama-3.1-SauerkrautLM-70",0.672633308112068,49,32,100,33,21
"Llama-3.1-70B-Instruct",-0.233216485375031,56,42,100,43,29
"Dracarys-72B-Instruct",0.790196695657047,48,33,81,34,19
"Linkbricks-Horizon-AI-Ave.5",-11.2431554930085,99,99,100,99,1
"Lamarckvergence-14B",-1.02889090787848,61,52,100,52,31
"Lix-14B-v0.1",-1.72354521383517,69,54,100,58,29
"calme-2.2-llama3.1-70b",-1.13640881631516,62,52,100,52,31
"NQLSG-Qwen2.5-14B-MegaFus",-2.39525770936572,79,59,100,60,23
"calme-2.3-llama3.1-70b",-0.357142976857489,58,43,100,43,29
"NQLSG-Qwen2.5-14B-MegaFus.1",-1.94235370926914,73,58,100,59,29
"orca_mini_v8_1_70b",2.56211023908041,24,9,62,11,5
"Apollo-70B",4.75409976618517,3,1,20,1,1
"ZYH-LLM-Qwen2.5-14B-V4",-2.33030425674892,78,59,100,60,24
"NQLSG-Qwen2.5-14B-MegaFus.2",-2.24054198556903,75,59,100,60,25
"Progenitor-V1.1-LLaMa-70B",3.95080134546206,9,1,26,1,1
"70B-L3.3-Cirrus-x1",4.32184574609818,4,1,20,1,1
"magnum-v1-72b",0.621565026379028,51,35,100,36,22
"magnum-72b-v1",0.665050138318741,50,34,100,35,21
"lamarckvergence-14b-tenso",-0.887911156087121,60,51,100,52,31
"li-14b-v0.4-slerp0.1",-2.81717756912095,85,60,100,61,17
"miscii-14b-0218",-0.223173473471018,54,42,100,43,29
"Cheng-2",-3.74113428486927,93,69,100,71,4
"NQLSG-Qwen2.5-14B-MegaFus.3",-2.59032897572479,81,60,100,60,21
"Llama3.3-70B-CogniLink",4.07799872646657,7,1,24,1,1
"tempesthenno-ppo-ckpt40",-1.17656946458033,63,53,100,53,31
"RYS-Llama3.1-Large",-0.22909559504722,55,43,100,43,29
"virtuoso-small-v2-tensopo",-1.37457399151017,65,53,100,53,31
"Cheng-2-v1.1",-4.0701972201151,96,71,100,74,1
"RombosBeagle-v2beta-MGS-3",2.7560252042659,21,7,53,9,4
"TheBeagle-v2beta-32B-MGS",2.81797755417942,20,7,49,9,4
"lambda-qwen2.5-14b-dpo-te",-2.24825665778528,77,59,100,60,25
"tempesthenno-nuslerp-001",-1.31167078442969,64,53,100,54,31
"Qwen2.5-14B-1M-YOYO-V3",-5.96506673637767,98,88,100,91,1
"Josiefied-Qwen2.5-14B-Ins",-3.44698345252151,87,66,100,69,9
"NQLSG-Qwen2.5-14B-MegaFus.4",-3.53449508377536,89,70,100,72,6
"Q2.5-Veltha-14B",-2.76440802177949,83,61,100,62,17
"ECE-ILAB-Q1",1.49748782380254,40,23,68,23,17
"Virtuoso-Small-v2",-2.84145437938422,86,64,100,65,17
"Qwen2.5-14B-YOYO-V4-p1",-3.82366035171403,94,69,100,72,2
"Chocolatine-14B-Instruct-",-3.93816477978774,95,70,100,74,1
