model,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
D3_ANAEMIA_IRONDEF_D500,1337,0.562386563137126,0.45461763570571,0.4750265972215743,0.4488786295114944,0.4938522873382393,0.4391933017901352,Iron deficiency anemia secondary to blood loss (chronic)
D3_COAGDEFNAS_D689,840,0.539439001714749,0.416876996053608,0.5499301076355321,0.5292258719544267,0.3217135454542862,0.4328222021343287,"Coagulation defect, unspecified"
THROMBOCYTAEMIA_D473,316,0.590240749307854,0.530281599856196,0.4850305687608438,0.4589664981565302,0.4640282087753937,0.3587885881335898,Essential (hemorrhagic) thrombocythemia
I9_THAORTANEUR_I712,589,0.477863618025977,0.436389087938056,0.7617863996746116,0.6193621734136,0.7583034930369426,0.7352439726500841,"Thoracic aortic aneurysm, without rupture"
H7_DIPLOPIA_H532,1068,0.577687983805759,0.557371053936624,0.4821023631405939,0.4959941960310789,0.4684972349057125,0.4564119350881891,Diplopia
RHEUMA_NOS_M069,1285,0.467260402442483,0.482341604463718,0.5373259525198952,0.5268966821564189,0.5513006273952049,0.5533891589446253,"Rheumatoid arthritis, unspecified"
E4_LIPOPROTNAS_E789,307,0.558424833593334,0.520320885598876,0.490836128953765,0.5854419486872642,0.5039127532506688,0.4505442716802192,"Disorder of lipoprotein metabolism, unspecified"
J10_BRONCH_J40,3161,0.493574783096633,0.421674568149766,0.5451093748848276,0.5549950736540087,0.4362615899216071,0.572259322667707,"1 Bronchitis, not specified as acute or chronic"
L12_NONIONRADISKINNAS_L578,3189,0.689343966024847,0.435522964434353,0.6007714998009914,0.561773785231914,0.4479693007204907,0.631949281893296,Oth skin changes due to chr expsr to nonionizing radiation
CD2_BENIGN_MENINGES_NOS_D329,305,0.56949455942956,0.500254997285273,0.4950271902665927,0.497822189746948,0.4069329698685819,0.6221674446380632,"Benign neoplasm of meninges, unspecified"
N14_CERVICAL_DYSPLASIA_ALL_N879,270,0.465552239255841,0.318812083862851,0.5447422045437682,0.5281898722811311,0.4967408709729631,0.4738085550743842,"Dysplasia of cervix uteri, unspecified"
E4_HYPEROSMHNAT_E870,460,0.495695864118541,0.425551243472627,0.4987117063013984,0.5376745690547664,0.4941844902972287,0.4988183403121725,Hyperosmolality and hypernatremia
L12_EPIDERMTHICKNAS_L858,429,0.439638027414088,0.567204843975492,0.4357121472686215,0.6542770824615953,0.4828468647809538,0.5192782804610767,Other specified epidermal thickening
M13_PLANTARFASC_M722,2721,0.545703319467309,0.57685632417808,0.4217301838584719,0.5525984812521669,0.4898597655847404,0.6012196033109646,Plantar fascial fibromatosis
E4_NONTOXIC_THYROID_E049,811,0.477836989099022,0.489258713219314,0.5424119558586143,0.4934783589099335,0.5060176216207832,0.5391501526843886,"Nontoxic goiter, unspecified"
I9_AVBLOCK_I441,253,0.529978493011732,0.474235985233892,0.5626468617610709,0.4804581822128604,0.5399409753884509,0.5240308249973372,"Atrioventricular block, second degree"
K11_OTHILEUS_K567,481,0.440782148218477,0.536028462468069,0.5184779938381182,0.4917892334988595,0.4140402887997859,0.5372713532454784,"Ileus, unspecified"
M13_DORSALGIA_M549,7678,0.496784296366231,0.515240019377892,0.5618206945589587,0.5691972658047512,0.5115772186861536,0.583097740331331,"Dorsalgia, unspecified"
H7_EYELIDNAS_H029,390,0.459205602933801,0.532348297751597,0.5042157024674474,0.4796107580650949,0.5980813436393629,0.5607349444446132,Unspecified disorder of eyelid
J10_BRONCHNAS_J42,478,0.552572978031019,0.333076012137875,0.5906596658582842,0.6121033476706517,0.3546783238885173,0.5852536380325416,1 Unspecified chronic bronchitis
E4_PROTMALNAS_E46,826,0.415201714521741,0.497603137056751,0.3787791221518469,0.6316453919745603,0.5146852547074786,0.6159053713367382,1 Unspecified protein-calorie malnutrition
K11_PANCOTH_K869,391,0.436075034266443,0.32261056579885,0.5192488644015264,0.4668867440151112,0.5899820912338194,0.6069626176151384,"Disease of pancreas, unspecified"
E4_ALKALOSIS_E873,350,0.542516885948998,0.520564635034082,0.5290899509138332,0.496245928664479,0.4986557205630381,0.459162845739279,Alkalosis
L12_ROSACEANAS_L719,1896,0.511897410473854,0.485120520958661,0.5219695682566472,0.4261936567559917,0.6239459413730872,0.5970947293951127,"Rosacea, unspecified"
E4_GOITRENOD_E041,2697,0.464775604596959,0.402879156842711,0.5467738425181223,0.5824713579375851,0.5461087373392564,0.5560004672382006,Nontoxic single thyroid nodule
E4_FE_DEF_E611,1878,0.562048123060045,0.446113511287759,0.5117989461646417,0.5157445671487669,0.5077207612227853,0.4936261805972241,Iron deficiency
G6_TRINEU_G500,329,0.549583690691258,0.516046386327244,0.4921227061350269,0.5311705285223145,0.4510371061171804,0.438835341553741,Trigeminal neuralgia
L12_NAIL_INGROW_L600,1389,0.493478181370925,0.507717317593969,0.4609189204152624,0.4393907305207016,0.4800853409684725,0.4918678433265194,Ingrowing nail
E4_HYPERLIPNAS_E785,19957,0.491716209009341,0.497873423666212,0.5694666660461516,0.5661272502531767,0.541391787599686,0.5789978023214714,"Hyperlipidemia, unspecified"
E4_HYPERPARA_E210,389,0.525809704891362,0.443169769059845,0.5770468559718431,0.5655481716777058,0.4072291956296109,0.578641784198048,Primary hyperparathyroidism
N14_ENDOMETRIOSIS_UTERUS_N800,259,0.475392600768547,0.424363452961575,0.514147435276079,0.5088850790386074,0.5091075870443699,0.5242617586312136,Endometriosis of uterus
N14_POSTMENATRVAG_N952,2173,0.519936435544283,0.550253044186855,0.4749176674604726,0.5574294770964643,0.5081824879940527,0.5352331461327693,Postmenopausal atrophic vaginitis
ALLERG_RHINITIS_J301,2136,0.511842260243262,0.518428560034061,0.5267900746502484,0.5525442178541423,0.4827307094684868,0.5360014874610814,Allergic rhinitis due to pollen
M13_CERVICALGIA_M542,8338,0.474111286373002,0.474192968113848,0.5359235844043336,0.5278348330401205,0.528349035079347,0.5265469037256284,Cervicalgia
L12_ERYTHEMATOUSOTH_L539,749,0.319640554614967,0.406552216556852,0.4641766329224938,0.4837827043467639,0.4585950308667902,0.4702298322875302,"Erythematous condition, unspecified"
E4_ACIDOSIS_E872,1773,0.496043168453969,0.478847285846213,0.5720720201630395,0.5736054051317159,0.487207812810398,0.5047677405318388,Acidosis
M13_LOWBACKPAIN_M545,9402,0.528694196656987,0.526518844499051,0.5649112854927322,0.5709426322744527,0.5694827408337095,0.5761767046355222,Low back pain
I9_IHD_I25,228,0.489743143397686,0.513768859704564,0.5446299234215597,0.574460736561715,0.5845082048259529,0.5894710153087747,0 Chronic ischemic heart disease
N14_ENDOMETRIOSIS_NOS_N809,531,0.452409721840084,0.467197224918118,0.3929196026477038,0.4061636245181245,0.5373761271394674,0.3792578185878761,"Endometriosis, unspecified"
I9_CAVS_OPERATED_I352,189,0.539099577389857,0.447142896289947,0.5016194079816444,0.6204031525544355,0.4544576350397845,0.5139346618054087,Nonrheumatic aortic (valve) stenosis with insufficiency
E4_THYROIDNASOTH_E079,1060,0.428067628086244,0.454745605434838,0.6543827632975078,0.6275058552929004,0.6683355447346736,0.6607192716680631,"Disorder of thyroid, unspecified"
ASTHMA_OBESITY_E66,312,0.48860167147408,0.506578117991913,0.517016597299625,0.536422458934154,0.5453874044773985,0.5655182029666566,0 Overweight and obesity
L12_GRANULOMASKINNAS_L929,206,0.556244536728533,0.582604178936456,0.5641956396683447,0.4880500665073445,0.3667866204587879,0.5060144587941215,"Granulomatous disorder of the skin, subcu, unsp"
I9_CEREBDOTH_I679,320,0.499549459597934,0.499055889765114,0.4971053176382639,0.546368667118608,0.5248226815123381,0.5246747133564372,"Cerebrovascular disease, unspecified"
K11_COELIAC_K900,468,0.493405199112991,0.488991551060696,0.5439700843417137,0.5871799550605222,0.4519472314021387,0.542102942770235,Celiac disease
CD2_BENIGN_RECTUM_ANAL_D128,651,0.478502778233474,0.508928996467396,0.5566482684639624,0.5586606715680498,0.5597555604060768,0.5557675162191008,Benign neoplasm of rectum
I9_LBBB_I447,650,0.474404821076071,0.496286484154418,0.5113568511501456,0.509268120462527,0.526560411593743,0.5216114310415293,"Left bundle-branch block, unspecified"
K11_OTHDISOES_K228,772,0.449399023304528,0.499302526523823,0.5395761691805802,0.5406105488683722,0.5415165999149101,0.5484919077654792,Other specified diseases of esophagus
M13_DEQUERVAIN_M654,614,0.570215363267693,0.373427666629709,0.5941365827164456,0.6536628120891728,0.2659885475830295,0.5195916522451047,Radial styloid tenosynovitis [de Quervain]
MIGRAINE_UNSPE_G439,262,0.54500223398724,0.553763018961511,0.5123925486792584,0.5171795931345343,0.4867618666093911,0.5033623457777001,"Migraine, unspecified"
DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION_K269,294,0.471774693137957,0.512474567426995,0.4942873870210685,0.5090183982836731,0.5093770892994123,0.5122533521944473,"Duodenal ulcer, unsp as acute or chronic, w/o hemor or perf"
CD2_BENIGN_MELANOCYTIC_TRUNK_D225,2618,0.495119942465827,0.536178846366937,0.5066378005060969,0.527510738287743,0.4698358848940768,0.5912873835387658,Melanocytic nevi of trunk
M13_BONEDISNAS_M899,1663,0.472517508867774,0.528923675261239,0.5074293667574714,0.5305499676156624,0.4968112241164211,0.5818228116709103,"Disorder of bone, unspecified"
I9_CVD_HARD_I200,486,0.487049069175398,0.500396991782411,0.5603258552574649,0.572502725258359,0.5509990471627412,0.534588733928768,Unstable angina
N14_POSTMENBLEED_N950,1197,0.496794634688499,0.510719352649866,0.5190141497637469,0.492672245298011,0.4946613882565731,0.4841488800730261,Postmenopausal bleeding
CD2_BENIGN_PITUITARY_CRANIPHAR_D352,296,0.421889555322142,0.653103480189032,0.4633576978935488,0.522508712571756,0.4245784377949296,0.3367600074228358,Benign neoplasm of pituitary gland
E4_HYPOPIT_E230,174,0.439791672098737,0.477747344321143,0.3472008710933705,0.5356962412865591,0.3216878062162228,0.2939299133341879,Hypopituitarism
MEMLOSS_R413,2707,0.478073444585662,0.471684666130718,0.4068580378065977,0.4182074743058733,0.4536369716932194,0.4398611354639797,Other amnesia
K11_REFLUX_K21,469,0.498257409652146,0.472912605866371,0.4997052284367853,0.4954058255968,0.5183430127368119,0.5059095840669936,0 Gastro-esophageal reflux disease
F5_DELIRIUM_F05,296,0.494917088188917,0.462135670511497,0.4932575927567298,0.4702256320581234,0.4800894295367111,0.4610580058359199,1 Delirium due to known physiological condition
HYPOTE_DRUGS_I952,306,0.483439450920029,0.484492194933158,0.5154920443674952,0.5970802471919713,0.4855796074169228,0.5453427113598481,Hypotension due to drugs
GENERALI_SKIN_ERUPT_DRUGS_MEDICAM_L270,388,0.488688606017438,0.497315051427168,0.5330848507025431,0.4591172841931831,0.570696178249646,0.570093973862839,Gen skin eruption due to drugs and meds taken internally
RHEU_ARTHRITIS_OTH_M130,385,0.515319011636951,0.42457866961871,0.4067528632356282,0.5776410230484292,0.5526515702436026,0.5691158340757101,"Polyarthritis, unspecified"
I9_ABAORTANEUR_I714,440,0.502938649143524,0.501341067115381,0.475434405818753,0.5935684069377077,0.467311742500528,0.4012930237097294,"Abdominal aortic aneurysm, without rupture"
M13_ARTHTROSIS_COX_PRIM_ICD10_M160,1516,0.491937375569576,0.538860324200873,0.5718911458747226,0.4005015117296264,0.4036105273968869,0.5294584695710173,Bilateral primary osteoarthritis of hip
AB1_GASTROENTERITIS_NOS_A09,659,0.495431006738414,0.49894577475332,0.4952473517988701,0.5010529457432706,0.4970656016373582,0.5099931386743902,"1 Infectious gastroenteritis and colitis, unspecified"
F5_ANXIETY_F419,13258,0.502030550483788,0.503825418224163,0.5207352293669294,0.520620697435748,0.5042807800874102,0.5220374090877968,"Anxiety disorder, unspecified"
I9_AORTANEUR_I719,271,0.464686532105263,0.493207345690417,0.5412384388971501,0.5987012833076688,0.5661364088432708,0.5759894255035245,"Aortic aneurysm of unspecified site, without rupture"
CD2_BENIGN_ASCENDING_COLON_D122,2436,0.477352472086018,0.480059548032145,0.5424316906996313,0.5616310271945033,0.5320323405811794,0.5773996227210367,Benign neoplasm of ascending colon
N14_RENALCOLNAS_N23,382,0.484918049554367,0.473968516270113,0.4932140767091833,0.5053961929017233,0.4958560465881892,0.4826233747197154,1 Unspecified renal colic
NAFLD_K760,3759,0.466456024336888,0.482399130507144,0.5660598990685743,0.5814873704507256,0.515168814462351,0.5439169808421046,"Fatty (change of) liver, not elsewhere classified"
L12_OTHERSKINSUBCUTIS_L84,1739,0.302439214860337,0.591317125061643,0.5759929009949167,0.6641216777131439,0.5612481582359738,0.5668273130059045,1 Corns and callosities
CD2_BENIGN_DESCENDING_COLON_D124,1289,0.465108907302591,0.511485409781732,0.5512618893534186,0.5716141464345895,0.5566200162252796,0.5646898414626496,Benign neoplasm of descending colon
N14_OTHNONINFOVA_N838,567,0.367385844455157,0.391717644898392,0.5390425831553617,0.5337219451439961,0.327392200156464,0.4877562521086237,"Oth noninflammatory disord of ovary, fallop and broad ligmt"
I9_CEREBATHER_I672,175,0.436813441451677,0.470536892036541,0.5108801333772897,0.5250603758357182,0.4760774387520711,0.5356685579316425,Cerebral atherosclerosis
E4_LIPOPROT_E78,611,0.508966205819504,0.495882250500205,0.4986540543055879,0.5300898996403317,0.5632045250382074,0.5716493463817951,0 Disorders of lipoprotein metabolism and other lipidemias
FG_CARDMYO_I420,409,0.538956183623126,0.552915447277125,0.211914109851743,0.3891828888926681,0.313754378279278,0.2237117597559975,Dilated cardiomyopathy
M13_TIETZE_M940,599,0.347212348554459,0.276113970566199,0.6119264957954438,0.5125310489737366,0.534974458608659,0.4637716208246989,Chondrocostal junction syndrome [Tietze]
H8_HL_SEN_NAS_H903,5430,0.448958477402431,0.544914984546517,0.5348546287904643,0.5391016161474363,0.452831363125721,0.5306700475385151,"Sensorineural hearing loss, bilateral"
CD2_BENIGN_COLON_NOS_D126,2545,0.558923277426391,0.544267716198823,0.5561346805442807,0.5920106787595069,0.5661831954009509,0.6151473663689921,"Benign neoplasm of colon, unspecified"
CD2_BENIGN_MENINGES_CEREBRAL_D320,210,0.423485081776936,0.443866804810313,0.5122592117492599,0.4564988803587146,0.5863502543320923,0.476370200907123,Benign neoplasm of cerebral meninges
FALLS_R296,1218,0.491523193592124,0.510214703689845,0.5091536169628517,0.5303140734403167,0.5025294056520927,0.536954455921672,Repeated falls
E4_FLUIDELECTRONAS_E878,679,0.500849350798851,0.457841824722445,0.4799219777934838,0.4386521897805968,0.5121425445099712,0.3769762384106626,"Oth disorders of electrolyte and fluid balance, NEC"
CD2_BENIGN_COLON_D123,2403,0.486382173975603,0.46972883822738,0.5602108832463452,0.5903463411590205,0.5241500275914859,0.5863402735700186,Benign neoplasm of transverse colon
O15_DELIV_CAESAR_O82,293,0.192999627927792,0.503087248696695,0.4847838083835794,0.5115562603640574,0.6047148640767502,0.5701569830426626,1 Encounter for cesarean delivery without indication
M13_SACROCOGG_M533,2401,0.568113133952034,0.529816287876108,0.6074776214692565,0.5236782223905619,0.5694033266562194,0.591323008355499,"Sacrococcygeal disorders, not elsewhere classified"
PAIN_M797,1983,0.513346120852142,0.516368592380718,0.5571637304488768,0.5647489919204645,0.5504122696531808,0.5747606372529275,Fibromyalgia
N14_TUBULOINTNEPHRNAS_N12,839,0.451549011836225,0.459737046790959,0.4374606484632564,0.5062475911874572,0.481282996181501,0.5192385954968103,"1 Tubulo-interstitial nephritis, not spcf as acute or chronic"
N14_FEMALE_GENITAL_LSIL_N870,229,0.553230274822076,0.507297736709186,0.535133647877246,0.5413364583790766,0.4995030166704896,0.546721458108202,Mild cervical dysplasia
G6_CEROEDEMA_G936,209,0.559219687956456,0.354615248906907,0.3335886608108941,0.4386934827618535,0.5778076663967262,0.2916554397660571,Cerebral edema
I9_HYPERTROCARDMYOP_I422,198,0.38024067641554,0.44947811044287,0.3978177330561878,0.219050147028435,0.4574530634333099,0.2620559587868595,Other hypertrophic cardiomyopathy
K11_OESOBST_K222,840,0.441505479868004,0.430550230603428,0.5058100090581368,0.575393302053836,0.4864108657017168,0.5545942564922294,Esophageal obstruction
Q17_ASD_Q211,389,0.503847531069086,0.56267540428931,0.5229545784551383,0.3779658626321184,0.5123037735267387,0.4217135241032301,Atrial septal defect
CD2_BENIGN_LIPO_SKIN_TRUNK_D171,447,0.499356601089417,0.53712804420557,0.5158870472066978,0.5522680335755991,0.4788850851267653,0.5487474994626537,"Benign lipomatous neoplasm of skin, subcu of trunk"
E4_HYPERKALAEMIA_E875,2176,0.513888941265595,0.519645546730363,0.5339260624319939,0.5583266259416029,0.4662827860846605,0.4901354456777904,Hyperkalemia
M13_NEURALGIA_M792,1450,0.468232146501904,0.449110573917018,0.5716739945060477,0.6170428571046415,0.5820371484788366,0.604834202463355,"Neuralgia and neuritis, unspecified"
M13_THORACISPINEPAIN_M546,2862,0.577836139947559,0.607460855899282,0.710125289619256,0.727935360008569,0.5347091894989755,0.6778907311405841,Pain in thoracic spine
J10_ASTHMA_EXMORE_J45,388,0.50959401594161,0.501358285683541,0.568443760634916,0.5611075644961562,0.4086830927330138,0.5367083957348561,0 Asthma
N14_LUMPNASBREAST_N63,890,0.505957939427857,0.478822557028112,0.5216735822420332,0.538824781512828,0.6686410085182951,0.6198733593502735,0 Unspecified lump in breast
GOUT_NOS_M109,1777,0.503053240144908,0.480882085967565,0.5879580447073074,0.5956198251524442,0.4954706857442077,0.5724084069380657,"Gout, unspecified"
E4_HYTHY_AI_STRICT_E039,8208,0.481681161560579,0.479306639380147,0.6207067132883844,0.618738760362986,0.6310277627941615,0.6233058401104613,"Hypothyroidism, unspecified"
N14_HYDRONEPHR_N132,749,0.496602340377311,0.526258249276166,0.5016486290537038,0.5326458908876168,0.5677454412619656,0.5699041655515141,Hydronephrosis with renal and ureteral calculous obstruction Hydronephrosis with renal and ureteral calculous obstruction
G6_MS_G35,613,0.535299816804563,0.593666842820543,0.5007196084155682,0.4906864608942144,0.4510031788630004,0.4757928515779645,1 Multiple sclerosis
CD2_BENIGN_LIPO_NOS_D179,465,0.462485528998185,0.500247320596364,0.5071835732455402,0.5421101890057872,0.6914277874689082,0.6087074431288153,"Benign lipomatous neoplasm, unspecified"
E4_GOITREMULTINOD_E042,1790,0.408492653935456,0.414440649120051,0.6060324153390787,0.5439985590637257,0.5336788312380744,0.6321599083062523,Nontoxic multinodular goiter
K11_OESSTODUO_K30,642,0.500427062198077,0.519826735649385,0.4959656535077742,0.524568301455366,0.4764997307272094,0.5022754267668671,1 Functional dyspepsia
N14_FIOTHNAS_N979,447,0.49803147249183,0.491626924504438,0.5033692770537229,0.533287124760622,0.4956744282360434,0.4260298450451374,"Female infertility, unspecified"
L12_SKINSUBCUTISNAS_L988,1075,0.552087306280635,0.439318566957386,0.4880866274639611,0.4750550023954576,0.4420954978204837,0.4872952444399879,Oth disrd of the skin and subcutaneous tissue
D3_THROMBOCYTOPENIANAS_D696,2255,0.515334839613186,0.546201819716595,0.4818454947692765,0.5331542820045349,0.4990895271058672,0.5216879959309766,"Thrombocytopenia, unspecified"
AUTOIMMUNE_NONTHYROID_M329,457,0.549725766974541,0.444207203847254,0.4583209315557026,0.5824437449675787,0.4463438615113914,0.5428703250895366,"Systemic lupus erythematosus, unspecified"
N14_INFCERVIX_N72,397,0.52711570417715,0.592504491754265,0.4543217427874262,0.5359731238737284,0.5153273605045859,0.5398696949349115,1 Inflammatory disease of cervix uteri
R18_ANOREXIA_R630,811,0.526281087732111,0.52626270692838,0.5293596836180297,0.4952784681514512,0.5342467300818946,0.4046147853010658,Anorexia
J10_SEPTDEV_J342,1823,0.475918001521349,0.530477252891995,0.4979595709092241,0.524928607093807,0.5420663637227182,0.5565772047726864,Deviated nasal septum
M13_TENDOSYNOVITISNAS_M659,802,0.489279020592837,0.569380626406252,0.5058135710781083,0.4104311529667464,0.4527847388383191,0.4545853529809686,"Synovitis and tenosynovitis, unspecified"
I9_POSTAMI_I252,1884,0.499593996280625,0.510168091151576,0.6119918699200733,0.6105363151200561,0.5922691513750427,0.6060261991459097,Old myocardial infarction
F5_ALLANXIOUS_F410,1691,0.528203403840232,0.492724007831427,0.596030365071852,0.5987598042293073,0.5258264672908383,0.5814244716281504,Panic disorder [episodic paroxysmal anxiety]
PRIM_KNEEARTHROSIS_M170,3048,0.589652002472035,0.490604267473219,0.5904522880586666,0.5201057685386847,0.5719584235564897,0.5968038786813564,Bilateral primary osteoarthritis of knee
N14_RENFAIL_N19,334,0.456932845438646,0.527754007561423,0.541667532033606,0.5040782875076291,0.4858205412316043,0.5035993274235981,1 Unspecified kidney failure
BRONCHITIS_J22,558,0.504837772059562,0.482343704927908,0.4975288654242547,0.4969790478909975,0.5070174838809709,0.5161212684899521,1 Unspecified acute lower respiratory infection
N14_HYPERTROPHYBREAST_N62,657,0.42823971100018,0.43387204063981,0.5483789973448936,0.5061284792916225,0.5366921134674244,0.6041317148385674,1 Hypertrophy of breast
N14_MENORRHAGIA_N920,1377,0.495920303328959,0.488268675105826,0.5569036400638129,0.525906895366935,0.5389736817525232,0.531429102053255,Excessive and frequent menstruation with regular cycle
N14_OTHETNASKIDUR_N289,1962,0.453300513077779,0.511449409358464,0.6111758416676079,0.5793657579576411,0.4061375687734109,0.5628131002075203,"Disorder of kidney and ureter, unspecified"
CD2_BENIGN_RECTOSIGMOID_JUNC_D127,237,0.392082207907801,0.486898114967368,0.4860926614134128,0.4880653212753402,0.536593100775905,0.4432604209617493,Benign neoplasm of rectosigmoid junction
E4_ANTIDIU_E222,230,0.379101374416065,0.511728769593599,0.484466677024505,0.4461502328462384,0.5001411523790612,0.4059052203608651,Syndrome of inappropriate secretion of antidiuretic hormone
L12_OTHERMELANIN_L814,5290,0.461272674279866,0.488383305882897,0.5101400655748977,0.4314240866740134,0.5747140063536457,0.5874404515561873,Other melanin hyperpigmentation
F5_GAD_F411,5613,0.5985837650258,0.505189903230483,0.4898951530547575,0.4684372561129284,0.4337163885285893,0.4597255008967347,Generalized anxiety disorder
N14_UTER_POLYP_N841,370,0.446647571731949,0.521771189858544,0.4740774798335414,0.5138296005033056,0.4858109325725567,0.4886439478438019,Polyp of cervix uteri
J10_COLD_J00,598,0.469762723944553,0.421759041897889,0.4951034119070898,0.4393925367075655,0.5112122166395663,0.4748734242620436,1 Acute nasopharyngitis [common cold]
H7_VISDISTNAS_H539,1852,0.503863901663838,0.446920273399046,0.5150217224618645,0.5620019465754431,0.5541506212303455,0.5033270975230392,Unspecified visual disturbance
CIRRHOSIS_BROAD_K766,404,0.55988754892092,0.423395483490804,0.6122357151633778,0.4758747144021448,0.564369857293727,0.5546178198931511,Portal hypertension
L12_ACTINKERA_L570,6065,0.524357677012479,0.525801118929415,0.5497469508061028,0.5181311990779934,0.4605363979434454,0.5363803257057692,Actinic keratosis
M13_DUPUTRYEN_M720,590,0.490619858410057,0.479631923031938,0.7357136977178376,0.62370009983465,0.5532344991996246,0.6533942704965429,Palmar fascial fibromatosis [Dupuytren]
I9_ENDOCARD_I38,454,0.566590164285163,0.306583725569624,0.5296358987094704,0.5331591990469289,0.6114781946533333,0.5296190603727525,"1 Endocarditis, valve unspecified"
N14_CYSTKID_N281,2363,0.487968300693361,0.48822635717114,0.5416908974353806,0.5593615843747046,0.4870487139514951,0.4972325110504025,"Cyst of kidney, acquired"
I9_SAHANEUR_I671,404,0.461837550805126,0.536412406491831,0.5624527513705622,0.6906998791562895,0.4211727072076226,0.5321414213857615,"Cerebral aneurysm, nonruptured"
N14_MENSIRREG_N926,1732,0.458296480118557,0.484212162818231,0.5125591654260083,0.532141098712148,0.4479488084272284,0.520306033612692,"Irregular menstruation, unspecified"
E4_HYPOOSMNAT_E871,3155,0.505250120689345,0.524804919191354,0.5120422470400943,0.5341451761303184,0.4781635393646914,0.5495902041316519,Hypo-osmolality and hyponatremia
K11_CHRONPANC_K861,329,0.364741937413049,0.486374752105625,0.5764033764496391,0.4965638377619283,0.4970557952727357,0.5707025525199095,Other chronic pancreatitis
L12_LICHENSCLERATROPH_L900,420,0.484138202336843,0.443878736122968,0.5034075373456267,0.5894538101251262,0.4312734332105793,0.4792172841920077,Lichen sclerosus et atrophicus
G6_PARKINSON_G20,487,0.487171143406447,0.492528953786799,0.5036968681642664,0.5143130140725206,0.5398214432482616,0.5179848252632746,0 Parkinson's disease
F5_PSYCHOTH_F29,322,0.373021634241516,0.387874046139978,0.5752577228433401,0.5020800047083699,0.4697706675644433,0.5374122033303456,1 Unsp psychosis not due to a substance or known physiol cond
CD2_BENIGN_SIGMOID_COLON_D125,1604,0.509403214788839,0.499577092402686,0.5070317311103419,0.5309519932229246,0.5235883371128702,0.5270635321969976,Benign neoplasm of sigmoid colon
Z21_KIDNEY_TRANSPLANT_STATUS_Z940,260,0.424482303896806,0.634508522545662,0.4458114597754147,0.4353079868864293,0.5192377106391907,0.5335247262414264,Kidney transplant status
E4_HYPOKALAEMIA_E876,4332,0.47140310426129,0.471747384608256,0.5268510699262577,0.512303840935479,0.4794740232797622,0.4930564528936257,Hypokalemia
M13_POLYMYALGIA_M353,350,0.50971473566593,0.497010638543749,0.4852174744852363,0.4767643037815465,0.4743431570894654,0.5010904019847245,Polymyalgia rheumatica
L12_SCARCONDITIONS_L905,2187,0.494501066372699,0.522423115683022,0.538850367284727,0.4897676884860909,0.5255440229999657,0.5164293097702689,Scar conditions and fibrosis of skin
I9_HYPTENS_I10,22649,0.490765510265898,0.491943473552684,0.6112216333831169,0.6164552140458882,0.6098848912020687,0.61691312678373,1 Essential (primary) hypertension
